Date,Open,High,Low,Close,Adj Close,Volume
2005-08-24,11240.000000,11260.000000,10980.000000,11120.000000,8135.128906,23985000
2005-08-25,11060.000000,11100.000000,10880.000000,11040.000000,8076.604004,24360000
2005-08-26,11040.000000,11120.000000,10980.000000,10980.000000,8032.708496,18915000
2005-08-29,10840.000000,10840.000000,10720.000000,10800.000000,7901.024902,18275000
2005-08-30,10880.000000,10960.000000,10660.000000,10820.000000,7915.656250,14915000
2005-08-31,10680.000000,10920.000000,10680.000000,10880.000000,7959.550781,12205000
2005-09-01,10980.000000,11040.000000,10940.000000,10980.000000,8032.708496,11970000
2005-09-02,10980.000000,11140.000000,10960.000000,11080.000000,8105.864258,12190000
2005-09-05,11160.000000,11260.000000,11100.000000,11220.000000,8208.288086,10920000
2005-09-06,11260.000000,11520.000000,11260.000000,11380.000000,8325.340820,19050000
2005-09-07,11520.000000,11640.000000,11520.000000,11580.000000,8471.655273,17565000
2005-09-08,11700.000000,11860.000000,11600.000000,11740.000000,8588.706055,34625000
2005-09-09,11700.000000,11820.000000,11660.000000,11780.000000,8617.969727,13105000
2005-09-12,11880.000000,12000.000000,11780.000000,11780.000000,8617.969727,20070000
2005-09-13,11800.000000,12200.000000,11780.000000,12120.000000,8866.703125,34885000
2005-09-14,12100.000000,12300.000000,12040.000000,12260.000000,8969.125977,25585000
2005-09-15,12100.000000,12380.000000,12080.000000,12140.000000,8881.334961,29035000
2005-09-16,12080.000000,12120.000000,11760.000000,11860.000000,8676.495117,30625000
2005-09-19,11860.000000,11860.000000,11860.000000,11860.000000,8676.495117,0
2005-09-20,12000.000000,12060.000000,11840.000000,11860.000000,8676.495117,28045000
2005-09-21,11920.000000,12120.000000,11900.000000,12020.000000,8793.546875,19085000
2005-09-22,11860.000000,12000.000000,11840.000000,12000.000000,8778.916016,16000000
2005-09-23,11840.000000,11980.000000,11660.000000,11700.000000,8559.444336,18675000
2005-09-26,11720.000000,12000.000000,11720.000000,11940.000000,8735.019531,21895000
2005-09-27,11960.000000,11980.000000,11800.000000,11860.000000,8676.495117,15910000
2005-09-28,11800.000000,12000.000000,11740.000000,11960.000000,8749.654297,13505000
2005-09-29,11880.000000,11980.000000,11800.000000,11860.000000,8676.495117,18509700
2005-09-30,11880.000000,12000.000000,11760.000000,11760.000000,8603.339844,21192950
2005-10-03,11760.000000,11760.000000,11760.000000,11760.000000,8603.339844,0
2005-10-04,11800.000000,12140.000000,11800.000000,12060.000000,8822.812500,26986050
2005-10-05,12080.000000,12280.000000,11960.000000,12020.000000,8793.546875,21874300
2005-10-06,11900.000000,11900.000000,11700.000000,11740.000000,8588.706055,20716650
2005-10-07,11560.000000,11760.000000,11520.000000,11660.000000,8530.182617,25602800
2005-10-10,11680.000000,11940.000000,11660.000000,11860.000000,8676.495117,15080150
2005-10-11,11760.000000,11980.000000,11740.000000,11960.000000,8749.654297,10695550
2005-10-12,11860.000000,11880.000000,11540.000000,11560.000000,8457.019531,26597200
2005-10-13,11420.000000,11480.000000,11160.000000,11300.000000,8266.811523,36035800
2005-10-14,11300.000000,11440.000000,11200.000000,11300.000000,8266.811523,31305500
2005-10-17,11200.000000,11380.000000,11200.000000,11260.000000,8237.549805,17525000
2005-10-18,11280.000000,11380.000000,11260.000000,11320.000000,8281.442383,17588650
2005-10-19,11200.000000,11220.000000,11000.000000,11040.000000,8076.604004,18547750
2005-10-20,11200.000000,11220.000000,11040.000000,11120.000000,8135.128906,17849800
2005-10-21,11000.000000,11320.000000,10980.000000,11280.000000,8252.180664,20033250
2005-10-24,11320.000000,11420.000000,11220.000000,11320.000000,8281.442383,16487150
2005-10-25,11440.000000,11560.000000,11280.000000,11300.000000,8266.811523,18269150
2005-10-26,11240.000000,11320.000000,11180.000000,11260.000000,8237.549805,15002350
2005-10-27,11260.000000,11360.000000,11120.000000,11160.000000,8164.392578,19331000
2005-10-28,10980.000000,11020.000000,10900.000000,10920.000000,7988.813477,21614800
2005-10-31,10980.000000,11100.000000,10960.000000,11060.000000,8091.233398,19203500
2005-11-01,11200.000000,11360.000000,11180.000000,11300.000000,8266.811523,29155950
2005-11-02,11280.000000,11600.000000,11280.000000,11500.000000,8413.128906,15716000
2005-11-03,11760.000000,11840.000000,11700.000000,11740.000000,8588.706055,22394000
2005-11-04,11940.000000,12000.000000,11860.000000,11980.000000,8764.283203,24807150
2005-11-07,12040.000000,12060.000000,11820.000000,11960.000000,8749.654297,12834600
2005-11-08,12000.000000,12060.000000,11940.000000,12040.000000,8808.178711,12065550
2005-11-09,12020.000000,12140.000000,11920.000000,12000.000000,8778.916016,14940450
2005-11-10,12020.000000,12140.000000,11980.000000,12100.000000,8852.075195,17080450
2005-11-11,12340.000000,12480.000000,12280.000000,12360.000000,9042.283203,29524650
2005-11-14,12420.000000,12580.000000,12320.000000,12520.000000,9159.335938,20931600
2005-11-15,12520.000000,12580.000000,12220.000000,12400.000000,9071.549805,14063750
2005-11-16,12320.000000,12600.000000,12320.000000,12600.000000,9217.864258,14038850
2005-11-17,12540.000000,12560.000000,12380.000000,12480.000000,9130.073242,12542600
2005-11-18,12500.000000,12600.000000,12380.000000,12520.000000,9159.335938,14163300
2005-11-21,12640.000000,12640.000000,12240.000000,12360.000000,9042.283203,24063600
2005-11-22,12220.000000,12240.000000,11740.000000,11840.000000,8661.862305,45564250
2005-11-23,12000.000000,12260.000000,11980.000000,12140.000000,8881.334961,42389900
2005-11-24,12360.000000,12360.000000,12100.000000,12160.000000,8895.968750,15155400
2005-11-25,12160.000000,12220.000000,11920.000000,12000.000000,8778.916016,15658550
2005-11-28,12000.000000,12060.000000,11920.000000,12020.000000,8793.546875,9434350
2005-11-29,11960.000000,12040.000000,11760.000000,11880.000000,8691.126953,17159050
2005-11-30,11860.000000,12080.000000,11860.000000,12000.000000,8778.916016,17308450
2005-12-01,11920.000000,12160.000000,11900.000000,12100.000000,8852.075195,19357700
2005-12-02,12400.000000,12460.000000,12280.000000,12340.000000,9027.653320,19342900
2005-12-05,12440.000000,12500.000000,12360.000000,12460.000000,9115.441406,12418300
2005-12-06,12380.000000,12620.000000,12340.000000,12600.000000,9217.864258,21114200
2005-12-07,12600.000000,12900.000000,12480.000000,12780.000000,9349.543945,26531300
2005-12-08,12700.000000,12800.000000,12520.000000,12640.000000,9247.126953,26904650
2005-12-09,12560.000000,12620.000000,12260.000000,12420.000000,9086.178711,23027250
2005-12-12,12440.000000,12560.000000,12340.000000,12360.000000,9042.283203,18588950
2005-12-13,12420.000000,12460.000000,12260.000000,12400.000000,9071.549805,16596150
2005-12-14,12440.000000,12540.000000,12160.000000,12220.000000,8939.861328,26300350
2005-12-15,12180.000000,12320.000000,12020.000000,12180.000000,8910.599609,18607050
2005-12-16,12120.000000,12120.000000,11860.000000,12000.000000,8778.916016,29408600
2005-12-19,12140.000000,12280.000000,12040.000000,12180.000000,8910.599609,17987750
2005-12-20,12060.000000,12280.000000,12040.000000,12240.000000,8954.496094,17198500
2005-12-21,12280.000000,12700.000000,12280.000000,12560.000000,9188.598633,25337350
2005-12-22,12700.000000,12940.000000,12620.000000,12680.000000,9276.385742,28095000
2005-12-23,12840.000000,13040.000000,12720.000000,12900.000000,9437.334961,28658350
2005-12-26,13000.000000,13260.000000,12980.000000,13080.000000,9569.019531,17830000
2005-12-27,13180.000000,13280.000000,12960.000000,13220.000000,9671.440430,18003350
2005-12-28,13160.000000,13260.000000,13100.000000,13220.000000,9671.440430,21403250
2005-12-29,13200.000000,13400.000000,13140.000000,13160.000000,9627.544922,20916500
2006-01-02,13280.000000,13360.000000,13120.000000,13200.000000,9656.809570,16985900
2006-01-03,13200.000000,13320.000000,13120.000000,13280.000000,9715.335938,17385550
2006-01-04,13500.000000,14000.000000,13460.000000,13940.000000,10198.175781,38604500
2006-01-05,13900.000000,13900.000000,13420.000000,13580.000000,9934.806641,25783750
2006-01-06,13700.000000,13760.000000,13580.000000,13680.000000,10007.964844,17394550
2006-01-09,13900.000000,13940.000000,13660.000000,13740.000000,10051.859375,14995150
2006-01-10,13900.000000,14020.000000,13760.000000,14020.000000,10256.700195,23642650
2006-01-11,13860.000000,13960.000000,13580.000000,13680.000000,10007.964844,17463600
2006-01-12,13680.000000,13840.000000,13620.000000,13720.000000,10037.227539,20117150
2006-01-13,13540.000000,13880.000000,13360.000000,13840.000000,10125.016602,23698600
